experiment,config,run,prompt_tokens_target,max_tokens,ttft_ms,total_ms,status_code,prompt_tokens_actual,completion_tokens,error
exp1,BASELINE,4,500,20,211.9,211.93,200,601,20,
exp1,BASELINE,5,500,20,212.67,212.7,200,601,20,
exp1,BASELINE,6,500,20,210.42,210.46,200,601,20,
exp1,BASELINE,7,500,20,212.85,212.88,200,601,20,
exp1,BASELINE,8,500,20,210.72,210.75,200,601,20,
exp1,BASELINE,9,500,20,214.55,214.59,200,601,20,
exp1,BASELINE,10,500,20,212.38,212.41,200,601,20,
exp1,BASELINE,11,500,20,212.81,212.84,200,601,20,
exp1,BASELINE,12,500,20,212.85,212.88,200,601,20,
exp1,BASELINE,13,500,20,213.8,213.84,200,601,20,
exp1,BASELINE,14,500,20,213.55,213.58,200,601,20,
exp1,BASELINE,15,500,20,212.84,212.88,200,601,20,
exp1,BASELINE,16,500,20,211.87,211.9,200,601,20,
exp1,BASELINE,17,500,20,212.29,212.32,200,601,20,
exp1,BASELINE,18,500,20,212.0,212.04,200,601,20,
exp1,BASELINE,19,500,20,211.92,211.95,200,601,20,
exp1,BASELINE,20,500,20,213.2,213.24,200,601,20,
exp1,DISAGG-D1,1,500,20,269.27,269.3,200,601,20,
exp1,DISAGG-D1,2,500,20,268.82,268.85,200,601,20,
exp1,DISAGG-D1,3,500,20,270.59,270.62,200,601,20,
exp1,DISAGG-D1,4,500,20,267.09,267.12,200,601,20,
exp1,DISAGG-D1,5,500,20,270.72,270.75,200,601,20,
exp1,DISAGG-D1,6,500,20,270.82,270.85,200,601,20,
exp1,DISAGG-D1,7,500,20,272.31,272.34,200,601,20,
exp1,DISAGG-D1,8,500,20,271.67,271.7,200,601,20,
exp1,DISAGG-D1,9,500,20,273.29,273.32,200,601,20,
exp1,DISAGG-D1,10,500,20,277.79,277.81,200,601,20,
exp1,DISAGG-D1,11,500,20,272.34,272.37,200,601,20,
exp1,DISAGG-D1,12,500,20,274.08,274.1,200,601,20,
exp1,DISAGG-D1,13,500,20,275.79,275.82,200,601,20,
exp1,DISAGG-D1,14,500,20,278.75,278.78,200,601,20,
exp1,DISAGG-D1,15,500,20,274.01,274.04,200,601,20,
exp1,DISAGG-D1,16,500,20,272.62,272.65,200,601,20,
exp1,DISAGG-D1,17,500,20,274.78,274.81,200,601,20,
exp1,DISAGG-D1,18,500,20,275.62,275.66,200,601,20,
exp1,DISAGG-D1,19,500,20,273.58,273.61,200,601,20,
exp1,DISAGG-D1,20,500,20,275.9,275.93,200,601,20,
exp1,DISAGG-D2,1,500,20,268.49,268.51,200,601,20,
exp1,DISAGG-D2,2,500,20,267.93,267.95,200,601,20,
exp1,DISAGG-D2,3,500,20,77.94,77.96,200,601,1,
exp1,DISAGG-D2,4,500,20,265.02,265.05,200,601,20,
exp1,DISAGG-D2,5,500,20,267.84,267.87,200,601,20,
exp1,DISAGG-D2,6,500,20,266.47,266.5,200,601,20,
exp1,DISAGG-D2,7,500,20,261.71,261.73,200,601,20,
exp1,DISAGG-D2,8,500,20,266.7,266.72,200,601,20,
exp1,DISAGG-D2,9,500,20,266.33,266.35,200,601,20,
exp1,DISAGG-D2,10,500,20,266.98,267.0,200,601,20,
exp1,DISAGG-D2,11,500,20,266.55,266.57,200,601,20,
exp1,DISAGG-D2,12,500,20,268.02,268.05,200,601,20,
exp1,DISAGG-D2,13,500,20,82.89,82.91,200,601,1,
exp1,DISAGG-D2,14,500,20,266.76,266.78,200,601,20,
exp1,DISAGG-D2,15,500,20,267.72,267.75,200,601,20,
exp1,DISAGG-D2,16,500,20,264.04,264.07,200,601,20,
exp1,DISAGG-D2,17,500,20,269.39,269.42,200,601,20,
exp1,DISAGG-D2,18,500,20,270.08,270.1,200,601,20,
exp1,DISAGG-D2,19,500,20,267.86,267.88,200,601,20,
exp1,DISAGG-D2,20,500,20,268.9,268.93,200,601,20,
exp1,BASELINE,1,1000,20,211.07,211.09,200,1201,20,
exp1,BASELINE,2,1000,20,213.98,214.0,200,1201,20,
exp1,BASELINE,3,1000,20,214.52,214.54,200,1201,20,
