experiment,config,run,concurrency,ttft_ms,total_ms,status_code,target,error
exp2,DISAGG-1D,6,16,15830.92,15830.95,200,d1,
exp2,DISAGG-1D,7,16,15863.56,15863.58,200,d1,
exp2,DISAGG-1D,8,16,15874.38,15874.4,200,d1,
exp2,DISAGG-1D,9,16,15874.43,15874.46,200,d1,
exp2,DISAGG-1D,10,16,15874.41,15874.46,200,d1,
exp2,DISAGG-1D,11,16,15862.37,15862.38,200,d1,
exp2,DISAGG-1D,12,16,15862.3,15862.32,200,d1,
exp2,DISAGG-1D,13,16,15081.5,15081.58,200,d1,
exp2,DISAGG-1D,14,16,15828.39,15828.41,200,d1,
exp2,DISAGG-1D,15,16,15782.56,15782.6,200,d1,
exp2,DISAGG-1D,16,16,15826.65,15826.68,200,d1,
exp2,DISAGG-1D,17,16,1058.79,1058.82,200,d1,
exp2,DISAGG-1D,18,16,1111.56,1111.58,200,d1,
exp2,DISAGG-1D,19,16,952.24,952.28,200,d1,
exp2,DISAGG-1D,20,16,1111.42,1111.48,200,d1,
exp2,DISAGG-2D,1,16,11490.84,11490.87,200,d1,
exp2,DISAGG-2D,2,16,12164.02,12164.05,200,d2,
exp2,DISAGG-2D,3,16,12027.8,12027.83,200,d1,
exp2,DISAGG-2D,4,16,11798.93,11798.96,200,d2,
exp2,DISAGG-2D,5,16,12300.95,12300.97,200,d1,
exp2,DISAGG-2D,6,16,12226.84,12226.87,200,d2,
exp2,DISAGG-2D,7,16,11815.34,11815.36,200,d1,
exp2,DISAGG-2D,8,16,12033.5,12033.52,200,d2,
exp2,DISAGG-2D,9,16,12025.5,12025.52,200,d1,
exp2,DISAGG-2D,10,16,12342.51,12342.53,200,d2,
exp2,DISAGG-2D,11,16,12035.25,12035.28,200,d1,
exp2,DISAGG-2D,12,16,12341.21,12341.23,200,d2,
exp2,DISAGG-2D,13,16,12151.12,12151.15,200,d1,
exp2,DISAGG-2D,14,16,12343.44,12343.51,200,d2,
exp2,DISAGG-2D,15,16,12324.86,12324.88,200,d1,
exp2,DISAGG-2D,16,16,12340.11,12340.18,200,d2,
exp2,DISAGG-2D,17,16,907.97,908.0,200,d1,
exp2,DISAGG-2D,18,16,933.77,933.82,200,d2,
exp2,DISAGG-2D,19,16,907.1,907.12,200,d1,
exp2,DISAGG-2D,20,16,886.35,886.38,200,d2,
