experiment,config,prompt_tokens_target,run,ttft_ms,total_ms,status_code,prompt_tokens_actual,completion_tokens,error
exp5,B-decode-direct,100,16,212.09,212.11,200,121,20,
exp5,B-decode-direct,100,17,211.35,211.37,200,121,20,
exp5,B-decode-direct,100,18,213.35,213.38,200,121,20,
exp5,B-decode-direct,100,19,213.79,213.82,200,121,20,
exp5,B-decode-direct,100,20,213.77,213.8,200,121,20,
exp5,B-decode-direct,100,21,213.63,213.65,200,121,20,
exp5,B-decode-direct,100,22,214.13,214.15,200,121,20,
exp5,B-decode-direct,100,23,212.5,212.53,200,121,20,
exp5,B-decode-direct,100,24,213.1,213.13,200,121,20,
exp5,B-decode-direct,100,25,212.67,212.69,200,121,20,
exp5,B-decode-direct,100,26,213.52,213.54,200,121,20,
exp5,B-decode-direct,100,27,215.59,215.61,200,121,20,
exp5,B-decode-direct,100,28,213.8,213.82,200,121,20,
exp5,B-decode-direct,100,29,214.12,214.15,200,121,20,
exp5,B-decode-direct,100,30,20.16,20.18,200,121,1,
exp5,C-sidecar-only,100,1,244.16,244.18,200,121,20,
exp5,C-sidecar-only,100,2,241.75,241.77,200,121,20,
exp5,C-sidecar-only,100,3,243.09,243.12,200,121,20,
exp5,C-sidecar-only,100,4,240.95,240.97,200,121,20,
exp5,C-sidecar-only,100,5,240.9,240.93,200,121,20,
exp5,C-sidecar-only,100,6,243.86,243.89,200,121,20,
exp5,C-sidecar-only,100,7,245.27,245.29,200,121,20,
exp5,C-sidecar-only,100,8,192.52,192.55,200,121,15,
exp5,C-sidecar-only,100,9,180.68,180.7,200,121,14,
exp5,C-sidecar-only,100,10,242.75,242.78,200,121,20,
exp5,C-sidecar-only,100,11,246.36,246.38,200,121,20,
exp5,C-sidecar-only,100,12,244.77,244.79,200,121,20,
exp5,C-sidecar-only,100,13,244.24,244.27,200,121,20,
exp5,C-sidecar-only,100,14,246.95,246.97,200,121,20,
exp5,C-sidecar-only,100,15,248.11,248.14,200,121,20,
exp5,C-sidecar-only,100,16,244.48,244.5,200,121,20,
exp5,C-sidecar-only,100,17,247.72,247.75,200,121,20,
exp5,C-sidecar-only,100,18,245.05,245.08,200,121,20,
exp5,C-sidecar-only,100,19,244.87,244.91,200,121,20,
exp5,C-sidecar-only,100,20,243.54,243.57,200,121,20,
exp5,C-sidecar-only,100,21,241.77,241.8,200,121,20,
exp5,C-sidecar-only,100,22,246.32,246.34,200,121,20,
exp5,C-sidecar-only,100,23,243.79,243.82,200,121,20,
exp5,C-sidecar-only,100,24,243.23,243.26,200,121,20,
exp5,C-sidecar-only,100,25,244.45,244.48,200,121,20,
exp5,C-sidecar-only,100,26,245.55,245.58,200,121,20,
exp5,C-sidecar-only,100,27,201.4,201.43,200,121,16,
exp5,C-sidecar-only,100,28,243.71,243.74,200,121,20,
exp5,C-sidecar-only,100,29,240.84,240.86,200,121,20,
exp5,C-sidecar-only,100,30,244.42,244.45,200,121,20,
exp5,D-disaggregated,100,1,279.21,279.25,200,121,20,
exp5,D-disaggregated,100,2,274.13,274.16,200,121,20,
exp5,D-disaggregated,100,3,272.58,272.61,200,121,20,
exp5,D-disaggregated,100,4,278.18,278.21,200,121,20,
exp5,D-disaggregated,100,5,278.5,278.53,200,121,20,
exp5,D-disaggregated,100,6,275.08,275.11,200,121,20,
exp5,D-disaggregated,100,7,275.48,275.51,200,121,20,
exp5,D-disaggregated,100,8,274.66,274.7,200,121,20,
exp5,D-disaggregated,100,9,269.94,269.98,200,121,20,
exp5,D-disaggregated,100,10,272.04,272.07,200,121,20,
exp5,D-disaggregated,100,11,276.84,276.87,200,121,20,
exp5,D-disaggregated,100,12,78.41,78.43,200,121,1,
exp5,D-disaggregated,100,13,273.8,273.83,200,121,20,
exp5,D-disaggregated,100,14,273.22,273.25,200,121,20,
exp5,D-disaggregated,100,15,274.56,274.59,200,121,20,
exp5,D-disaggregated,100,16,281.74,281.77,200,121,20,
exp5,D-disaggregated,100,17,274.63,274.66,200,121,20,
exp5,D-disaggregated,100,18,275.94,275.97,200,121,20,
exp5,D-disaggregated,100,19,88.79,88.82,200,121,2,
exp5,D-disaggregated,100,20,273.3,273.33,200,121,20,
exp5,D-disaggregated,100,21,284.96,285.0,200,121,20,
exp5,D-disaggregated,100,22,77.89,77.92,200,121,1,
exp5,D-disaggregated,100,23,278.95,278.98,200,121,20,
exp5,D-disaggregated,100,24,273.77,273.8,200,121,20,
exp5,D-disaggregated,100,25,272.72,272.75,200,121,20,
exp5,D-disaggregated,100,26,275.81,275.84,200,121,20,
exp5,D-disaggregated,100,27,273.17,273.2,200,121,20,
exp5,D-disaggregated,100,28,77.59,77.62,200,121,1,
exp5,D-disaggregated,100,29,276.59,276.61,200,121,20,
exp5,D-disaggregated,100,30,271.42,271.45,200,121,20,
exp5,A-prefill-direct,250,1,207.74,207.76,200,301,20,
exp5,A-prefill-direct,250,2,207.3,207.33,200,301,20,
exp5,A-prefill-direct,250,3,207.72,207.75,200,301,20,
exp5,A-prefill-direct,250,4,208.21,208.24,200,301,20,
exp5,A-prefill-direct,250,5,208.58,208.61,200,301,20,
exp5,A-prefill-direct,250,6,208.06,208.09,200,301,20,
exp5,A-prefill-direct,250,7,148.27,148.29,200,301,14,
exp5,A-prefill-direct,250,8,212.04,212.07,200,301,20,
exp5,A-prefill-direct,250,9,208.79,208.82,200,301,20,
exp5,A-prefill-direct,250,10,209.07,209.1,200,301,20,
exp5,A-prefill-direct,250,11,208.61,208.64,200,301,20,
exp5,A-prefill-direct,250,12,208.25,208.28,200,301,20,
exp5,A-prefill-direct,250,13,208.54,208.57,200,301,20,
exp5,A-prefill-direct,250,14,208.69,208.72,200,301,20,
exp5,A-prefill-direct,250,15,208.19,208.22,200,301,20,
exp5,A-prefill-direct,250,16,210.26,210.28,200,301,20,
exp5,A-prefill-direct,250,17,208.66,208.69,200,301,20,
exp5,A-prefill-direct,250,18,209.91,209.94,200,301,20,
exp5,A-prefill-direct,250,19,209.82,209.85,200,301,20,
exp5,A-prefill-direct,250,20,208.68,208.71,200,301,20,
exp5,A-prefill-direct,250,21,209.34,209.37,200,301,20,
exp5,A-prefill-direct,250,22,210.3,210.32,200,301,20,
exp5,A-prefill-direct,250,23,209.06,209.08,200,301,20,
exp5,A-prefill-direct,250,24,211.5,211.52,200,301,20,
exp5,A-prefill-direct,250,25,209.02,209.05,200,301,20,
exp5,A-prefill-direct,250,26,210.93,210.95,200,301,20,
exp5,A-prefill-direct,250,27,210.75,210.78,200,301,20,
exp5,A-prefill-direct,250,28,210.09,210.12,200,301,20,
exp5,A-prefill-direct,250,29,212.66,212.69,200,301,20,
exp5,A-prefill-direct,250,30,209.51,209.54,200,301,20,
exp5,B-decode-direct,250,1,212.84,212.87,200,301,20,
exp5,B-decode-direct,250,2,210.12,210.15,200,301,20,
exp5,B-decode-direct,250,3,21.01,21.02,200,301,1,
exp5,B-decode-direct,250,4,215.77,215.8,200,301,20,
exp5,B-decode-direct,250,5,215.31,215.33,200,301,20,
exp5,B-decode-direct,250,6,213.51,213.54,200,301,20,
exp5,B-decode-direct,250,7,215.74,215.77,200,301,20,
exp5,B-decode-direct,250,8,214.08,214.1,200,301,20,
exp5,B-decode-direct,250,9,212.46,212.48,200,301,20,
exp5,B-decode-direct,250,10,217.33,217.35,200,301,20,
exp5,B-decode-direct,250,11,212.63,212.65,200,301,20,
